brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
HRX by Hrithik Roshan,Men Solid High Neck T-shirt,"4.3
|
166 Ratings",166 Ratings,MRP ₹1199,₹539,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25910218/2023/11/21/b5db1211-6eda-40bc-af33-f03866b9a0c21700559371570-HRX-by-Hrithik-Roshan-Men-Tshirts-3091700559371106-1.jpg"");"
HRX by Hrithik Roshan,Men Teal Blue Printed Pure Cotton T-shirt,"4.2
|
64.1k Ratings",64.1k Ratings,MRP ₹699,₹307,(56% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700871/2020/1/22/f932ae44-0fb8-4b92-b7bc-f1756253294b1579692118186-HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-T-shirt-90515796-1.jpg"");"
HRX by Hrithik Roshan,Men Yellow Printed Cotton Pure Cotton T-shirt,"4.2
|
75.1k Ratings",75.1k Ratings,MRP ₹699,₹349,(50% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg"");"
HRX by Hrithik Roshan,Colourblocked Rapid-Dry Racket Sport Polo Collar T-shirt,"3.8
|
15 Ratings",15 Ratings,MRP ₹1299,₹389,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23984306/2023/11/9/194bba79-662f-4271-b6f7-2047a246c6bb1699520973925-HRX-by-Hrithik-Roshan-Men-Tshirts-8851699520973601-1.jpg"");"
HRX by Hrithik Roshan,Men Jet Black Printed Bio-Wash Antimicrobial Lifestyle Pure Cotton T-shirt,"4.2
|
813 Ratings",813 Ratings,MRP ₹699,₹377,(46% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12643892/2020/12/14/25c93bb2-53e0-4acd-81e7-b18d0b4979191607929571617-HRX-by-Hrithik-Roshan-Men-Tshirts-4521607929569387-1.jpg"");"
HRX by Hrithik Roshan,Men Black T-shirt,"4.3
|
624 Ratings",624 Ratings,MRP ₹899,₹359,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20104342/2022/10/4/0f9e09e3-544a-491c-8b8e-cd6e156ccd991664886736102-HRX-by-Hrithik-Roshan-Men-Black-T-shirt-2671664886735379-1.jpg"");"
HRX by Hrithik Roshan,Solid Round Neck Training T-shirt,"4.6
|
5 Ratings",5 Ratings,MRP ₹599,₹269,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23984096/2023/12/22/6210a3c4-3a0b-42e3-8294-12dc087d5ffd1703229726440-HRX-by-Hrithik-Roshan-Men-Tshirts-6901703229726016-1.jpg"");"
HRX by Hrithik Roshan,Men Typography Printed Rapid-Dry Training Sports T-shirt,"4.4
|
172 Ratings",172 Ratings,MRP ₹699,₹314,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21827928/2023/2/8/2f607d36-47bf-4118-8a7f-5b65cdc4237c1675854367359-HRX-by-Hrithik-Roshan-Men-Tshirts-6431675854366888-1.jpg"");"
HRX by Hrithik Roshan,Men Solid High Neck T-shirt,"4.2
|
78 Ratings",78 Ratings,MRP ₹1499,₹599,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25923092/2023/11/22/b292ccdc-4997-448e-a95c-3453f90434691700636621230-HRX-by-Hrithik-Roshan-Men-Tshirts-8471700636620903-1.jpg"");"
HRX by Hrithik Roshan,Regular Fit Training T-shirt,"4.7
|
6 Ratings",6 Ratings,MRP ₹599,₹329,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23984294/2023/12/18/a34bbaae-4314-4848-9ff2-77c7edcda27e1702898511168-HRX-by-Hrithik-Roshan-Men-Tshirts-2061702898510854-1.jpg"");"
HRX by Hrithik Roshan,Men Off-White Printed T-shirt,"3.9
|
3.5k Ratings",3.5k Ratings,MRP ₹699,₹349,(50% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700946/2017/2/21/11487675507806-HRX-by-Hrithik-Roshan-Men-Off-white-Printed-Round-Neck-T-Shirt-211487675507525-1.jpg"");"
