brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
Roadster,Men Grey Melange & Black Colourblocked T-shirt,"4
|
10.7k Ratings",10.7k Ratings,MRP ₹699,₹202,(71% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2169171/2019/5/29/cabd0aa5-6067-4ff1-b490-d72a80762fe51559130170714-Roadster-Men-Grey-Melange--Black-Colourblocked-T-shirt-62615-1.jpg"");"
Roadster,Men Green White Colourblocked Round Neck Pure Cotton T-shirt,"4.2
|
3.2k Ratings",3.2k Ratings,MRP ₹699,₹209,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13622286/2021/2/18/f58cb66f-5e6e-48a5-8395-c695410628811613644559259-Roadster-Men-Green-Colourblocked-Round-Neck-T-shirt-18316136-1.jpg"");"
Roadster,Men Navy Solid Round Neck T-shirt,"4
|
16.9k Ratings",16.9k Ratings,MRP ₹499,₹194,(61% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9901805/2019/7/16/8139e933-b2a1-4d35-8a9f-d01cf3e1ace81563256634726-Roadster-Men-Tshirts-5541563256633223-1.jpg"");"
Roadster,Men White Mustard Yellow Colourblocked Round Neck Pure Cotton T-shirt,"4.2
|
3.2k Ratings",3.2k Ratings,MRP ₹999,₹299,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12504566/2021/2/15/061da36d-d662-4fe6-9b1d-5b7377e785f11613373061587-Roadster-Men-Tshirts-3551613373060033-1.jpg"");"
Roadster,Men Off White Melange Solid Round Neck Regular Sleeves Knitted T-shirt,"4
|
9.6k Ratings",9.6k Ratings,MRP ₹499,₹199,( 60 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11948298/2022/3/24/ba4a8e4a-8e7b-4bfe-9ea2-fd5693598f931648115076887-Roadster-Men-Grey-Melange-T-shirt-8701648115076447-1.jpg"");"
Roadster,Men Charcoal Melange Graphic Printed T-shirt,"4.1
|
29.8k Ratings",29.8k Ratings,MRP ₹699,₹216,(69% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1072681/2020/1/20/9de2d7dc-e239-4327-b7d0-096c80ac3a121579503443912-Roadster-Men-Charcoal-Melange-Printed-Round-Neck-T-shirt-364-1.jpg"");"
Roadster,Men Maroon Typography Printed Cotton T-shirt,"4
|
34.9k Ratings",34.9k Ratings,MRP ₹599,₹239,( 60 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg"");"
Roadster,Men Grey Melange Solid Round Neck T-shirt,"4
|
13.8k Ratings",13.8k Ratings,MRP ₹499,₹169,(66% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3314157/2018/4/18/11524041081440-Roadster-Men-Grey-Melange-Solid-Round-Neck-T-shirt-3461524041081257-1.jpg"");"
Roadster,Men Black Pure Cotton T-shirt,"4.2
|
26.9k Ratings",26.9k Ratings,MRP ₹599,₹239,( 60 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9793511/2019/6/15/37ac1de4-2d8c-4e18-a431-a89cdf4695dd1560580175558-Roadster-Men-Black-Solid-Round-Neck-T-shirt-8361560580174560-1.jpg"");"
Roadster,Men Sea Green Printed Round Neck Pure Cotton T-shirt,"4.1
|
1.3k Ratings",1.3k Ratings,MRP ₹599,₹239,( 60 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12251202/2020/9/19/754421f6-b31c-44f5-a3d0-b1394a8b69c21600516277801-Roadster-Men-Tshirts-5861600516276283-1.jpg"");"
Roadster,Men Black Cotton Pure Cotton T-shirt,"4.2
|
35.4k Ratings",35.4k Ratings,MRP ₹399,₹247,(38% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1996777/2022/11/22/336445a8-fa32-4396-914a-2629b49465d31669112704759RoadsterMenBlackCottonPureCottonT-shirt1.jpg"");"
Roadster,Men Maroon Solid Polo Collar T-shirt,"4.1
|
7.3k Ratings",7.3k Ratings,MRP ₹999,₹389,(61% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3009070/2018/5/31/f48fa8e4-ee70-4118-8a1d-a898037036bc1527767035968-Roadster-Men-Tshirts-1311527767034405-1.jpg"");"
Roadster,Men White Blue Printed Round Neck Pure Cotton T-shirt,"4.1
|
5.8k Ratings",5.8k Ratings,MRP ₹799,₹231,(71% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg"");"
