brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
WROGN,Men Rust Red Graphic Printed Cotton T-shirt,"4.1
|
6.9k Ratings",6.9k Ratings,MRP ₹1099,₹604,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700830/2019/4/8/3f06fe25-1ce2-4e1e-88e9-7a9d26b4f0bf1554699735416-WROGN-Men-Rust-Red-High-Density-Print-Round-Neck-T-shirt-961-1.jpg"");"
WROGN,Men Multicoloured Tie and Dye Printed Pure Cotton Slim Fit T-shirt,"4.2
|
215 Ratings",215 Ratings,MRP ₹1299,₹714,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17971912/2022/6/10/2cd3a6fe-852a-4f28-92ca-b44360dfad2b1654857217603-WROGN-Men-Multicoloured-Tie-and-Dye-Printed-Pure-Cotton-Slim-1.jpg"");"
WROGN,Men Maroon Charcoal Grey Slim Fit Striped Round Neck Pure Cotton T-shirt,"4.3
|
1.4k Ratings",1.4k Ratings,MRP ₹1299,₹623,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9768167/2019/5/31/61ccf3fa-a722-4710-8610-d56159a321301559306245985-WROGN-Men-Maroon-Striped-Round-Neck-T-shirt-2311559306244682-1.jpg"");"
WROGN,Men Off-White Navy Striped Polo Pure Cotton T-shirt,"4.1
|
1.5k Ratings",1.5k Ratings,MRP ₹1499,₹719,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2478316/2019/1/29/8dd7cd71-f526-4c9c-9dcb-bd20db3b76a91548740043538-WROGN-Men-Off-White--Navy-Striped-Polo-T-shirt-5571548740042-1.jpg"");"
WROGN,Men Navy Blue Grey Slim Fit Striped Polo Collar Pure Cotton T-shirt,"4
|
123 Ratings",123 Ratings,MRP ₹1699,₹764,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13674612/2021/4/5/59da5b8b-ed2c-4647-bdaa-039663bd92ca1617620090449-WROGN-Men-Tshirts-9111617620089321-1.jpg"");"
WROGN,Men Yellow Solid V-Neck T-shirt,"4.2
|
196 Ratings",196 Ratings,MRP ₹799,₹383,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12329176/2023/12/12/e3bd7877-f5fc-4b2e-bdff-67912f8a79321702357424277-WROGN-Men-Yellow-Solid-V-Neck-T-shirt-3641702357423881-1.jpg"");"
WROGN,Graphic Printed Casual T-shirt,Nil,Nil,MRP ₹999,₹579,(42% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26315134/2023/12/22/73bd6e33-ac9e-46d1-ad2f-a3694847083b1703224198056-WROGN-Men-Tshirts-8311703224197641-1.jpg"");"
WROGN,Men Pure Cotton Striped Polo Collar Slim Fit T-shirt,"3.8
|
70 Ratings",70 Ratings,MRP ₹1899,₹778,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22999142/2023/6/22/f704fea4-9048-4893-9246-b4ad62bb9fc31687430819198-WROGN-Men-Pure-Cotton-Striped-Polo-Collar-Slim-Fit-T-shirt-9-1.jpg"");"
WROGN,Men Green Slim Fit Solid Polo Collar Pure Cotton T-shirt,"4.1
|
535 Ratings",535 Ratings,MRP ₹1399,₹657,(53% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13674580/2021/4/5/4b4235b8-64bf-4174-b7a7-877e9a5923921617607487234-WROGN-Men-Tshirts-3081617607486591-1.jpg"");"
WROGN,Men Navy Printed Pure Cotton T-shirt,"4.3
|
2k Ratings",2k Ratings,MRP ₹999,₹579,(42% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1729529/2018/5/9/0b962dc4-539e-4498-9a44-0556f4654e1f1525857255659-WROGN-Men-Navy-Printed-T-shirt-5591525857255461-1.jpg"");"
WROGN,Solid Round Neck Oversized T-shirt,"5
|
2 Ratings",2 Ratings,MRP ₹1099,₹604,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826552/2023/11/24/765cd534-c177-42ce-bf28-acd89f62d3c81700803555274-WROGN-Men-Shirts-8371700803554534-1.jpg"");"
WROGN,Solid Drop-Shoulder Sleeves Oversized T-shirt,Nil,Nil,MRP ₹1099,₹538,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826608/2023/12/29/6f4a8fbc-bfac-467f-93eb-1806212a994d1703831479462-WROGN-Men-Shirts-2271703831479128-1.jpg"");"
WROGN,Solid Drop-Shoulder Sleeves Oversized T-shirt,Nil,Nil,MRP ₹1099,₹527,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826642/2023/12/29/9c6dc183-df2c-4920-bf36-59ab7b53c3891703831499673-WROGN-Men-Shirts-6781703831499358-1.jpg"");"
WROGN,Men Black T-shirt,"4
|
108 Ratings",108 Ratings,MRP ₹1049,₹576,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18432596/2022/10/18/e450a4a4-9eba-4968-bd15-47ef3fa048d51666084049877-WROGN-Men-Tshirts-9241666084049309-1.jpg"");"
WROGN,Men White & Grey Printed Polo Collar Slim Fit T-shirt,"4.1
|
60 Ratings",60 Ratings,MRP ₹1499,₹719,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17026040/2022/2/11/dfbc3d15-6bbc-4fde-a4c9-f5f60e3df0091644569658907-WROGN-Men-Tshirts-231644569658404-1.jpg"");"
WROGN,Men Pure Cotton T-shirt,Nil,Nil,MRP ₹1299,₹636,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26041386/2023/12/1/9be20df8-5cb3-4196-9e3b-fd28d870eff01701431048646-WROGN-Men-Tshirts-3291701431048290-1.jpg"");"
